album,era,release_date,track_number,title,duration_sec,is_bonus,energy,loudness,valence,danceability,acousticness,instrumentalness,speechiness,tempo,key,time_signature,notes
GUTS,2,2023-09-08,1,All-American Bitch,165,False,0.695,-4.346,0.45,0.421,0.218,2.97e-06,0.0428,156.344,6.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,2,Bad Idea Right?,184,False,0.881,-3.545,0.808,0.631,0.00177,4.5e-06,0.0995,129.981,9.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,3,Vampire,219,False,0.53,-5.821,0.323,0.484,0.154,0.0,0.0538,136.848,5.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,4,Lacy,177,False,0.367,-7.653,0.426,0.395,0.815,0.0,0.0324,77.968,3.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,5,Ballad of a Homeschooled Girl,203,False,0.884,-3.452,0.408,0.351,0.0623,0.0,0.074,120.166,1.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,6,Making the Bed,198,False,0.409,-7.718,0.252,0.55,0.386,0.0,0.0316,133.099,7.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,7,Logical,231,False,0.24,-8.146,0.152,0.48,0.844,0.0,0.0323,80.686,7.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,8,Get Him Back!,211,False,0.847,-5.736,0.733,0.553,0.0143,0.0,0.187,162.024,5.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,9,Love Is Embarrassing,154,False,0.821,-3.504,0.617,0.517,0.00341,0.0,0.105,160.052,9.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,10,The Grudge,189,False,0.313,-9.32,0.331,0.511,0.905,0.0,0.0846,126.962,10.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,11,Pretty Isn't Pretty,199,False,0.845,-4.394,0.566,0.559,0.00243,1.46e-06,0.0501,123.941,2.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,12,Teenage Dream,222,False,0.218,-11.705,0.116,0.426,0.835,0.0,0.0341,135.205,0.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,13,Obsessed,170,True,0.581,-5.166,0.63,0.68,0.0181,1.07e-06,0.106,119.974,8.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,14,Girl I've Always Been,121,True,0.571,-7.154,0.826,0.53,0.404,0.0,0.27,92.927,7.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,15,Scared of My Guitar,263,True,0.254,-9.963,0.357,0.494,0.512,0.0,0.0391,105.004,2.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,16,Stranger,192,True,0.599,-5.074,0.544,0.442,0.783,0.0,0.12,186.309,0.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
GUTS,2,2023-09-08,17,So American,169,True,0.947,-1.896,0.503,0.435,0.0337,0.0,0.117,93.278,8.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
