album,era,release_date,track_number,title,duration_sec,is_bonus,energy,loudness,valence,danceability,acousticness,instrumentalness,speechiness,tempo,key,time_signature,notes
you seem pretty sad for a girl so in love,3,2026-06-12,1,Drop Dead,224,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,2,Stupid Song,209,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,3,Honeybee,223,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,4,Maggots for Brains,240,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,5,U + Me = <3,247,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,6,My Way,180,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,7,Purple,240,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,8,The Cure,297,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,9,Begged,217,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,10,What's Wrong with Me (feat. Robert Smith),224,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,11,Less,193,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,12,Expectations,221,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,13,Cigarette Smoke,340,False,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
you seem pretty sad for a girl so in love,3,2026-06-12,14,Never Do,223,True,,,,,,,,,,,"Fill blank audio-feature columns by looking up '<title> Olivia Rodrigo' on a tool like tunebat.com or chosic.com and recording the displayed values. Note which tool you used per row if it varies, for reproducibility."
